chr	strand	gene_locus	gene_id	gene_name	gene_biotype	sites_position_cDNA	sites_num	cDNA_sum	c1.KO_WT1	c2.KO_WT2	c3.KO_WT3	c4.KO_WT4	t1.KO_HOM1	t2.KO_HOM2	t3.KO_HOM3	t4.KO_HOM4	logFC	logCPM	PValue	FDR
8	+	chr8:88697027-88751944	ENSMUSG00000036712	Cyld	protein_coding	[88748487]	1	413	38.1	22.8	42.3	24.1	45.2	21.9	44.8	46.9	0.30739128904674	5.20977720077824	0.229782622717773	0.765028281596033
2	-	chr2:92403645-92434042	ENSMUSG00000068742	Cry2	protein_coding	[92411266]	1	141	13.1	13.8	12	15.5	10.1	13.2	6.7	12.5	-0.335157602561412	3.7551446712488	0.229806911243365	0.765028281596033
1	-	chr1:72259166-72284313	ENSMUSG00000026189	Pecr	protein_coding	[72259174]	1	272	18	19.4	19.7	26.4	24.9	21.9	18.7	38.3	0.317203177439116	4.63074830122923	0.229877999749396	0.765028281596033
11	-	chr11:69554091-69560204	ENSMUSG00000003934	Efnb3	protein_coding	[69554093]	1	1132	74	82.3	59.2	125.7	65.5	70.7	103.1	197.4	0.357769358002008	6.62467557767626	0.229893011456862	0.765028281596033
5	-	chr5:31198980-31202302	ENSMUSG00000043059	Zfp513	protein_coding	[31198981]	1	428	36.7	43.6	43.7	34.1	35.1	37.4	36.8	27.1	-0.214473127931745	5.25488023258133	0.229953829197277	0.765028281596033
15	-	chr15:96134818-96284494	ENSMUSG00000097536	2610037D02Rik	lincRNA	[96134818]	1	52	2.8	4.8	3.5	3.1	7	3.5	6	5.3	0.563313369482055	2.54870291663745	0.230026424773001	0.765028281596033
7	+	chr7:24530647-24538598	ENSMUSG00000041037	Irgq	protein_coding	[24538598]	1	2634	238.7	227.5	223.5	256.9	199.5	224.3	206.8	235.7	-0.124949624896728	7.83277026229859	0.230172849361974	0.765084685421974
14	-	chr14:59560895-59597835	ENSMUSG00000021982	Cdadc1	protein_coding	[59586313, 59584586, 59563946, 59582469, 59567735]	5	665	58.1	38.7	57.8	57.4	70.1	63.8	47.5	64	0.210547168679124	5.87184234586893	0.230195730719355	0.765084685421974
2	-	chr2:174465066-174473080	ENSMUSG00000016257	Slmo2	protein_coding	[174465077]	1	626	49.8	50.5	48	53.6	55.3	56.4	53.5	62.7	0.177956539245955	5.78518711534496	0.230382730112686	0.76531520540366
2	-	chr2:167098793-167101825	ENSMUSG00000086605	Gm14290	lincRNA	[167098793]	1	195	14.5	13.8	12	20.2	21	18.4	17.4	17.2	0.292537367350076	4.18223406074378	0.230417481196801	0.76531520540366
19	-	chr19:4800568-4811633	ENSMUSG00000006456	Rbm14	protein_coding	[4800924]	1	583	60.2	58.8	48.7	46.6	44.4	54.1	50.2	37	-0.203580562972491	5.68463928992547	0.23075098046927	0.766169536473833
8	-	chr8:25998728-26015600	ENSMUSG00000015994	Fnta	protein_coding	[25998971]	1	3212	258.1	242.1	287	270.9	290.7	260	314.6	289.2	0.124937559053784	8.11832859727739	0.230890658021876	0.766355683840341
8	-	chr8:45953605-45975251	ENSMUSG00000071103	1700029J07Rik	protein_coding	[45953605]	1	123	16.6	17.3	6.3	8.5	9.4	5.8	10.7	10.6	-0.439820642351755	3.58146673754541	0.230959643068968	0.766355683840341
15	+	chr15:30172592-31029310	ENSMUSG00000022240	Ctnnd2	protein_coding	[30549392, 30534433, 30191354, 30206277, 30493558]	5	316	19.4	20.7	33.1	25.6	29.6	29.9	32.8	25.7	0.257583179652945	4.83422216678411	0.231045550121473	0.766387551327635
14	-	chr14:55739019-55745689	ENSMUSG00000002332	Dhrs1	protein_coding	[55739021]	1	3636	303.7	303.6	284.2	307.3	331.2	311.2	301.2	358.5	0.1186615970207	8.29460757028742	0.231354294421658	0.766861335530112
15	-	chr15:76119516-76126595	ENSMUSG00000044361	BC024139	protein_coding	[76119520]	1	43	5.5	3.5	4.2	4.7	3.9	2.9	1.3	4	-0.567451723288089	2.34433801387542	0.231590142103737	0.766861335530112
12	+	chr12:69184156-69186769	ENSMUSG00000043998	Mgat2	protein_coding	[69186701]	1	923	89.9	69.9	87.4	90	75.6	81.1	81.7	60.7	-0.170328289900769	6.33721352397239	0.231592757523876	0.766861335530112
10	+	chr10:77032240-77061001	ENSMUSG00000001436	Slc19a1	protein_coding	[77050423]	1	696	60.9	60.9	47.2	53.6	69.4	72.5	56.2	56.1	0.191054268885102	5.93234415462111	0.231604351713549	0.766861335530112
3	+	chr3:34104269-34682618	ENSMUSG00000105265	Sox2ot	processed_transcript	[34677991]	1	241	24.2	24.9	20.4	21	16.4	24.7	17.4	15.8	-0.268171825115986	4.46353126842108	0.23164626717226	0.766861335530112
11	+	chr11:31872210-31935633	ENSMUSG00000020300	Cpeb4	protein_coding	[31932164, 31924101, 31935631]	3	2947	280.9	259.4	236.9	285.6	261.1	228.3	249	236.3	-0.126049883701729	7.99927503322955	0.231731260852305	0.766861335530112
12	-	chr12:33111710-33147596	ENSMUSG00000052125	F730043M19Rik	processed_transcript	[33133054]	1	236	24.9	20.7	18.3	25.6	13.2	24.2	19.4	15.2	-0.290604164743091	4.43558037682024	0.231734431505208	0.766861335530112
4	-	chr4:34688558-34730205	ENSMUSG00000028294	1700003M02Rik	protein_coding	[34688574]	1	32	1.4	2.1	0.7	3.9	3.9	0.6	4	5.9	0.810201863746294	2.04707436089967	0.23179918505271	0.766861335530112
18	-	chr18:31437807-31447414	ENSMUSG00000024261	Syt4	protein_coding	[31437809]	1	6804	600.5	628.7	645.2	558.8	562.7	602.7	579.6	499.1	-0.116629608874104	9.19497567415786	0.231973506169082	0.767185346052768
2	-	chr2:24974116-24975097	ENSMUSG00000036850	Mrpl41	protein_coding	[24974119]	1	996	87.9	92.7	88.1	91.6	77.2	82.2	79.6	86.5	-0.1435816196126	6.44426420858297	0.23206426847344	0.767232887606066
16	-	chr16:31296191-31314807	ENSMUSG00000022548	Apod	protein_coding	[31297119]	1	734	54.7	69.2	55.7	97	60	56.4	43.5	73.3	-0.242184399838462	6.01855071252486	0.232197915965504	0.767422134898823
8	+	chr8:87472811-87525553	ENSMUSG00000097248	Gm2694	lincRNA	[87525553]	1	269	31.8	27.7	24	17.9	18.7	23	26.1	15.2	-0.287702520187384	4.61363998536594	0.232290102813825	0.767474273901994
8	+	chr8:14881334-14901719	ENSMUSG00000026317	Cln8	protein_coding	[14897937, 14901716]	2	660	58.8	67.1	58.5	56.7	55.3	60.4	46.2	50.8	-0.178654729853286	5.86082556863649	0.232477873696076	0.767842079382895
4	-	chr4:41291299-41314888	ENSMUSG00000028436	Dcaf12	protein_coding	[41291302]	1	2423	205.5	192.3	180.5	211.9	235.4	245	217.5	175.6	0.145514638147759	7.7099862394963	0.232671441865736	0.768228784385093
4	+	chr4:78211954-78214176	ENSMUSG00000092492	B230208B08Rik	processed_transcript	[78215606]	1	47	2.8	3.5	0	6.2	3.1	4.6	8	4	0.683542592288376	2.43696054916156	0.232977887955418	0.768738726109802
2	-	chr2:103021074-103073512	ENSMUSG00000010914	Pdhx	protein_coding	[103021792, 103021075]	2	533	44.3	33.2	40.2	51.2	42.1	45.4	44.8	64.7	0.228509571578156	5.55967949822164	0.232978960800302	0.768738726109802
4	-	chr4:43032413-43046219	ENSMUSG00000036002	Fam214b	protein_coding	[43032416]	1	353	20.8	22.8	27.5	39.6	29.6	29.3	37.5	36.3	0.271576818610229	4.98899412870455	0.233318716017538	0.769457963010138
9	-	chr9:107984222-107985878	ENSMUSG00000042106	Fam212a	protein_coding	[107984225]	1	116	8.3	10.4	9.2	6.2	10.9	10.9	8.7	14.5	0.392926194754173	3.5027462648259	0.233486061072402	0.769457963010138
4	-	chr4:53030786-53159894	ENSMUSG00000015243	Abca1	protein_coding	[53030797]	1	199	17.3	18	7.8	15.5	12.5	15.5	17.4	31.7	0.398987904396433	4.20549361831732	0.233486180965026	0.769457963010138
6	-	chr6:83768884-83775812	ENSMUSG00000014748	Tex261	protein_coding	[83770752, 83768889]	2	861	64.3	65	87.4	60.5	84.2	76.5	84.3	69.3	0.176248752580334	6.23581590063208	0.233589901484099	0.769457963010138
9	-	chr9:41964719-42124296	ENSMUSG00000049313	Sorl1	protein_coding	[41965020, 41968244, 41964717]	3	319	36	24.2	33.1	26.4	29.6	27	19.4	24.4	-0.257740632636905	4.85014309693638	0.233608213577764	0.769457963010138
4	+	chr4:117251950-117268581	ENSMUSG00000048772	Tmem53	protein_coding	[117268579]	1	66	6.2	5.5	2.1	4.7	10.1	4	6	7.3	0.519753772317608	2.81982755571113	0.233656589723309	0.769457963010138
12	-	chr12:72650355-72664827	ENSMUSG00000021094	Dhrs7	protein_coding	[72650410]	1	251	18.7	24.9	20.4	34.9	21	13.2	12	30.4	-0.368254976731087	4.52873817280496	0.233799230410804	0.769495338038848
15	-	chr15:6813576-6874968	ENSMUSG00000022146	Osmr	protein_coding	[6813576]	1	46	5.5	0.7	2.1	3.9	5.5	2.9	6	5.3	0.654613621963976	2.41536727531054	0.233821164047647	0.769495338038848
18	+	chr18:65800548-65817664	ENSMUSG00000024516	Sec11c	protein_coding	[65817656]	1	1418	125.9	95.4	105.8	130.4	108.3	118.5	131.9	157.1	0.176025213861665	6.94395501147673	0.23394257910844	0.769546876605833
17	-	chr17:80238303-80290475	ENSMUSG00000035051	Dhx57	protein_coding	[80238311]	1	1289	110.7	107.9	113.5	135	95.1	112.7	113.8	99	-0.144714522632403	6.81130906832306	0.23414162978455	0.769546876605833
5	+	chr5:33995983-34005915	ENSMUSG00000048142	Nat8l	protein_coding	[34005913]	1	1289	107.9	110.7	121.3	127.3	95.1	100.6	120.5	105.6	-0.143985160219817	6.81283371860284	0.234147837284091	0.769546876605833
5	+	chr5:21785282-21803786	ENSMUSG00000028932	Psmc2	protein_coding	[21803784]	1	1647	134.2	127.9	129.8	146.7	141.1	156.4	157.3	136.7	0.138461812983389	7.15700628340035	0.234158720927893	0.769546876605833
6	+	chr6:51470359-51483703	ENSMUSG00000029836	Cbx3	protein_coding	[51483706]	1	248	18.7	18.7	21.2	18.6	31.2	21.9	24.1	17.2	0.273662950059631	4.50663888320731	0.234219912563125	0.769546876605833
13	-	chr13:30540307-30545361	ENSMUSG00000038462	Uqcrfs1	protein_coding	[30540452]	1	7216	604.7	517.3	562.7	634.9	567.4	508.4	629.2	941.4	0.190288446171238	9.28109730555841	0.234527905330382	0.770063822198039
14	+	chr14:79587690-79629754	ENSMUSG00000022024	Sugt1	protein_coding	[79630796, 79628975]	2	1159	96.9	98.9	114.9	113.3	93.5	76.5	95.7	112.9	-0.165293259899742	6.66546269766767	0.234633426928929	0.770063822198039
11	+	chr11:58104152-58118593	ENSMUSG00000020515	Cnot8	protein_coding	[58118593]	1	962	69.2	71.9	84.6	87.7	90.4	81.1	90.4	87.8	0.157756559690174	6.39575826815451	0.234731336046875	0.770063822198039
7	+	chr7:97406139-97406326	ENSMUSG00000083974	Gm16053	processed_pseudogene	[97407798]	1	5418	463.5	443.3	403.4	435.4	432.6	378.4	479.2	689.9	0.181626456558857	8.86774381402303	0.234798609115584	0.770063822198039
15	-	chr15:11981338-11996982	ENSMUSG00000022205	Sub1	protein_coding	[11983976, 11982463]	2	5896	521.6	519.4	546.5	524.6	494.9	442.9	491.9	528.2	-0.110321417029651	8.99436367784463	0.234800473793353	0.770063822198039
4	+	chr4:62559846-62704000	ENSMUSG00000059810	Rgs3	protein_coding	[62703017]	1	129	8.3	13.1	12	4.7	10.1	13.2	14.7	11.2	0.364385973410781	3.63640541856042	0.234859316081523	0.770063822198039
9	-	chr9:48468513-48480610	ENSMUSG00000032026	Rexo2	protein_coding	[48468513, 48473475]	2	804	75.4	73.3	66.3	77.6	58.5	63.3	70.3	69.3	-0.159441293949671	6.14126565775066	0.234933834695725	0.770063822198039
9	-	chr9:99385419-99437380	ENSMUSG00000032470	Mras	protein_coding	[99385422]	1	2855	250.4	253.8	265.8	267	276.7	246.7	232.9	180.2	-0.148471345804913	7.95347532977944	0.235208129167509	0.770063822198039
4	+	chr4:11156430-11174378	ENSMUSG00000028211	Trp53inp1	protein_coding	[11174376]	1	315	31.1	22.8	29.6	34.1	19.5	28.8	26.8	23.8	-0.23470299640602	4.83055880449554	0.235220381832347	0.770063822198039
7	+	chr7:16309615-16318204	ENSMUSG00000002083	Bbc3	protein_coding	[16318201]	1	1112	88.6	98.9	107.9	108.7	96.6	100.1	86.3	79.9	-0.152150214460626	6.60220829850608	0.235248489614002	0.770063822198039
5	-	chr5:5579277-5664238	ENSMUSG00000040473	Cfap69	protein_coding	[5579281, 5581154]	2	157	16.6	13.8	12.7	17.1	13.2	10.9	12	12.5	-0.307178240403393	3.89786865628382	0.235301269375645	0.770063822198039
9	-	chr9:58524299-58555131	ENSMUSG00000035914	Cd276	protein_coding	[58524301]	1	382	36	22.8	38.1	21.7	32.7	39.1	31.5	38.3	0.254886895605181	5.09130081100911	0.235408913277097	0.770063822198039
8	-	chr8:105289923-105296097	ENSMUSG00000043251	Exoc3l	protein_coding	[105289923]	1	37	4.2	0	1.4	3.9	4.7	5.2	3.3	2.6	0.750028176887383	2.18743627110389	0.235423768104352	0.770063822198039
12	+	chr12:111758848-111807843	ENSMUSG00000021288	Klc1	protein_coding	[111794895]	1	14747	1282.7	1316.1	1343.3	1322.5	1200.3	1341.2	1260.3	1073.5	-0.110459627767733	10.3093430221152	0.235457823666908	0.770063822198039
15	-	chr15:37923951-37961317	ENSMUSG00000022292	Rrm2b	protein_coding	[37923954]	1	248	21.4	20.7	23.3	29.5	21	25.9	10	19.1	-0.305621357728768	4.50549792024383	0.235583651107906	0.770063822198039
2	+	chr2:132263147-132312049	ENSMUSG00000058793	Cds2	protein_coding	[132312048, 132307617]	2	2934	263.6	263.5	250.3	277.1	253.3	238.1	258.4	221.2	-0.119694019704615	7.99105362376577	0.235603955158759	0.770063822198039
1	+	chr1:74506057-74530841	ENSMUSG00000026174	Rqcd1	protein_coding	[74530840]	1	512	40.8	40.1	40.9	42.7	49.1	50	42.8	44.9	0.185225110522663	5.50291280363554	0.235969376118543	0.771007291390582
8	+	chr8:84969586-84974833	ENSMUSG00000005161	Prdx2	protein_coding	[84974314, 84974807]	2	12780	1067.5	1004.2	1123.3	1041.5	1187.8	1082.4	1216.1	1074.1	0.105836594569306	10.1045781075018	0.2360733923854	0.771096309957384
3	-	chr3:88920802-88951180	ENSMUSG00000068921	Dap3	protein_coding	[88920803]	1	122	7.6	11.8	7.8	9.3	9.4	12.1	12	13.2	0.365138359427712	3.56646365584741	0.236363298309733	0.771792252348168
2	-	chr2:74520290-74579434	ENSMUSG00000009207	Lnp	protein_coding	[74554994, 74521332, 74551082]	3	591	60.2	41.5	73.3	45.8	49.1	36.8	54.2	48.2	-0.236445121005093	5.71099304227425	0.236634221076682	0.772425777216183
17	+	chr17:48410013-48417265	ENSMUSG00000040771	Oard1	protein_coding	[48417253]	1	145	8.3	15.2	9.2	10.9	16.4	8.6	13.4	18.5	0.364710751881616	3.7934438119357	0.236752783182558	0.772561713543084
13	-	chr13:14610300-14613036	ENSMUSG00000015672	Mrpl32	protein_coding	[14610304, 14608187]	2	678	58.8	45.6	57.1	56.7	59.2	51.2	66.9	71.3	0.18599763634629	5.90010317796509	0.23715346215138	0.773369760744452
X	+	chrX:94274573-94274636	ENSMUSG00000099072	Mir7673	miRNA	[94277719]	1	70	4.8	4.8	4.9	4.7	4.7	6.3	4	13.2	0.551228386224533	2.88462208337967	0.237154406918848	0.773369760744452
9	-	chr9:83778691-83806276	ENSMUSG00000032262	Elovl4	protein_coding	[83778699]	1	1063	96.9	95.4	94.5	97	75.6	97.2	90.4	82.5	-0.143534536245369	6.53356081335559	0.237340073313146	0.773378851021113
12	+	chr12:53248676-54072174	ENSMUSG00000021010	Npas3	protein_coding	[53360773, 54072170, 54071917, 54070132, 53264506, 53274938]	6	964	71.3	80.2	75.5	86.9	80.3	86.8	90.4	90.4	0.153215785090728	6.3950586731467	0.237434575316778	0.773378851021113
19	+	chr19:6084982-6091776	ENSMUSG00000024791	Cdca5	protein_coding	[6091772]	1	53	3.5	2.8	3.5	4.7	4.7	8.1	4.7	4	0.597603394885867	2.56632817087062	0.237481768173352	0.773378851021113
X	+	chrX:75382398-75396458	ENSMUSG00000031198	Fundc2	protein_coding	[75396456, 75397156, 75394982]	3	1030	91.3	93.4	93.8	93.9	84.2	83.4	85.7	84.5	-0.140787169138477	6.49314053888383	0.23751694507641	0.773378851021113
11	+	chr11:101119937-101126418	ENSMUSG00000035198	Tubg1	protein_coding	[101126416]	1	904	90.6	82.3	79	76.8	74.8	77.6	58.2	82.5	-0.164900797408483	6.305998399164	0.237542189904434	0.773378851021113
15	-	chr15:96411697-96460842	ENSMUSG00000033228	Scaf11	protein_coding	[96412104, 96414579, 96411702]	3	393	30.4	31.8	29.6	33.4	32	34.5	38.8	39	0.207797502863656	5.13445748709682	0.237712066466406	0.773627931097305
6	+	chr6:49822709-49829506	ENSMUSG00000029819	Npy	protein_coding	[49829502]	1	2458	215.9	215.1	253.2	200.2	203.4	213.4	210.8	178.9	-0.133032548304413	7.73297411291892	0.237844899105105	0.773627931097305
19	-	chr19:24261452-24280604	ENSMUSG00000059363	Fxn	protein_coding	[24259897]	1	70	9	6.9	3.5	9.3	6.2	4.6	3.3	5.9	-0.514058852923527	2.88899142981235	0.23784976615178	0.773627931097305
4	-	chr4:35191284-35226174	ENSMUSG00000028300	3110043O21Rik	protein_coding	[35191286]	1	1484	124.5	129.3	105.8	125	141.1	124.2	149.9	122.1	0.146600040876655	7.01216900257389	0.238018135179782	0.773924943265047
9	-	chr9:67022589-67049405	ENSMUSG00000032366	Tpm1	protein_coding	[67022592, 67023849, 67027974]	3	1807	152.9	152.8	181.2	170	151.2	123.7	149.3	169.7	-0.147974307121675	7.29931929936551	0.238162580519612	0.774143999591904
12	-	chr12:87166241-87200228	ENSMUSG00000034111	Tmed8	protein_coding	[87166240]	1	937	83	86.5	80.4	90	76.4	80.5	81.7	67.3	-0.149340423668707	6.35831912572513	0.238346031011949	0.774489658843098
2	-	chr2:77009901-77170635	ENSMUSG00000044033	Ccdc141	protein_coding	[77049577, 77010244, 77009902]	3	193	22.8	15.2	15.5	20.2	14.8	14.4	10.7	19.8	-0.301252297996474	4.16966864252502	0.238614419904109	0.77502268701525
1	+	chr1:134505337-134505462	ENSMUSG00000077202	Gm25612	snoRNA	[134507881]	1	247	22.1	22.1	17.6	13.2	14.8	25.3	26.8	25.1	0.297391394461863	4.49222149060995	0.238711357325256	0.77502268701525
5	-	chr5:135376140-135394545	ENSMUSG00000053293	Pom121	protein_coding	[135376142]	1	1559	141.1	142.5	154.4	124.2	130.9	140.9	115.1	122.1	-0.143134355939315	7.08034862493602	0.238827786337895	0.77502268701525
11	+	chr11:4637746-4685698	ENSMUSG00000020412	Ascc2	protein_coding	[4685697]	1	325	30.4	34.6	26.1	29.5	21.8	27	29.4	24.4	-0.224304969901322	4.87361143622805	0.238923834630294	0.77502268701525
7	+	chr7:65691168-65701912	ENSMUSG00000078681	Tm2d3	protein_coding	[65692089, 65701898]	2	2286	168.1	179.8	191.8	206.4	184.7	200.1	191.4	246.9	0.144192797529572	7.62664416429455	0.23894129722114	0.77502268701525
9	-	chr9:90091664-90114773	ENSMUSG00000062270	Morf4l1	protein_coding	[90091665]	1	120	11.1	6.9	11.3	6.2	16.4	10.4	10	10.6	0.384608795024109	3.54851922673247	0.238973044771628	0.77502268701525
19	-	chr19:4270179-4283136	ENSMUSG00000005986	Ankrd13d	protein_coding	[4270180]	1	890	75.4	76.1	80.4	92.4	70.1	80.5	60.2	77.9	-0.159884059601694	6.28470357578936	0.239293825983332	0.775333537946746
4	+	chr4:19575161-19606931	ENSMUSG00000028229	Rmdn1	protein_coding	[19606207]	1	118	8.3	5.5	12.7	7.8	10.1	8.6	8.7	19.1	0.436627619600995	3.52582832800454	0.239404697339888	0.775333537946746
9	-	chr9:28994749-29963140	ENSMUSG00000059974	Ntm	protein_coding	[29578637]	1	120	6.9	15.2	13.4	11.6	10.1	12.7	6	6.6	-0.400242564973106	3.54773688492473	0.239416473376869	0.775333537946746
4	+	chr4:130102557-130128134	ENSMUSG00000028779	Pef1	protein_coding	[130128115]	1	214	18	18	16.2	14	17.9	17.8	22.8	21.8	0.272509026184666	4.3040401496243	0.239439233748077	0.775333537946746
6	-	chr6:142587861-142702314	ENSMUSG00000030249	Abcc9	protein_coding	[142587866]	1	444	33.9	38	42.3	25.6	39	39.1	37.5	48.2	0.221987898504643	5.30227471193887	0.239454862077938	0.775333537946746
3	+	chr3:87919505-87923671	ENSMUSG00000019710	Mrpl24	protein_coding	[87923432, 87923660]	2	1024	75.4	83	76.9	95.5	84.2	88	83.7	116.9	0.17598433320437	6.48135906836252	0.239573426116224	0.775467448247295
7	+	chr7:120842830-120907218	ENSMUSG00000035064	Eef2k	protein_coding	[120907217, 120903999]	2	287	22.8	26.3	21.2	20.2	31.2	24.2	28.1	23.8	0.230047700285652	4.70406801374208	0.239859264799378	0.775854110112256
13	+	chr13:49653349-49679014	ENSMUSG00000021392	Nol8	protein_coding	[49678977]	1	55	2.1	7.6	2.8	1.6	7	8.6	4.7	2.6	0.685845496583969	2.60712247260308	0.239919212559713	0.775854110112256
10	+	chr10:110920176-110939598	ENSMUSG00000020186	Csrp2	protein_coding	[110939492]	1	844	72.6	69.9	73.3	56.7	87.3	65.6	70.3	85.8	0.171310468839289	6.20991715371041	0.239924618280433	0.775854110112256
18	+	chr18:37765579-37806362	ENSMUSG00000102428	Pcdhga12	protein_coding	[37766523]	1	88	8.3	9	7.1	10.9	9.4	4.6	6.7	5.9	-0.427818836066649	3.16488172213421	0.240089866626371	0.776110847832807
14	-	chr14:16430841-16575471	ENSMUSG00000017491	Rarb	protein_coding	[16430841]	1	370	33.9	29	30.3	23.3	29.6	31.1	34.8	40.9	0.222941782824961	5.04960379063943	0.240158553869411	0.776110847832807
11	-	chr11:97777526-97782436	ENSMUSG00000071415	Rpl23	protein_coding	[97777526]	1	297	29.1	22.1	21.2	20.2	22.6	28.8	34.1	24.4	0.250960153506267	4.74596212057081	0.240410363093085	0.776674714347681
13	-	chr13:17986639-17993350	ENSMUSG00000075054	Yae1d1	protein_coding	[17986648]	1	178	15.9	9	14.8	14.7	14	16.1	18.7	18.5	0.313056886645719	4.05854589625621	0.240600962771145	0.777040537001086
15	-	chr15:53064037-53346158	ENSMUSG00000061731	Ext1	protein_coding	[53262483, 53068268, 53064038]	3	579	57.4	42.9	32.4	50.4	52.2	51.8	44.2	66	0.226340783300134	5.67530019302737	0.240845033377092	0.777313504124885
17	-	chr17:35972540-35980235	ENSMUSG00000038500	Prr3	protein_coding	[35972540]	1	1043	96.9	98.2	92.4	90	92.7	80.5	85	84.5	-0.144668974579114	6.51249361437024	0.240879506700393	0.777313504124885
5	-	chr5:76333494-76363787	ENSMUSG00000029236	Nmu	protein_coding	[76333495]	1	67	9	5.5	7.8	4.7	5.5	5.2	4	4.6	-0.488913376478669	2.83594306810934	0.240971408898193	0.777313504124885
13	+	chr13:114818235-114832274	ENSMUSG00000015536	Mocs2	protein_coding	[114828721, 114828999]	2	1204	104.5	105.8	112.8	113.3	95.1	87.4	106.4	106.3	-0.143965337438841	6.7171729666476	0.240995046977787	0.777313504124885
12	-	chr12:65132733-65172603	ENSMUSG00000047534	Mis18bp1	protein_coding	[65132736, 65153574]	2	85	8.3	8.3	9.2	7.8	5.5	5.8	8	5.9	-0.409078039572602	3.11956076711171	0.241222346414938	0.777652114642923
11	-	chr11:106654216-106750627	ENSMUSG00000020717	Pecam1	protein_coding	[106654217]	1	652	55.3	57.4	52.9	43.5	76.4	49.5	61.6	54.1	0.193542207147545	5.84775796007431	0.241254877461903	0.777652114642923
5	+	chr5:104459449-104505818	ENSMUSG00000034462	Pkd2	protein_coding	[104505817]	1	326	28.4	29.7	19	24.8	31.2	29.3	24.1	37	0.249663704985617	4.87652220387087	0.241536228041248	0.777999818786738
7	-	chr7:37960001-38019541	ENSMUSG00000030421	Uri1	protein_coding	[37969416]	1	54	6.9	4.1	8.5	3.1	6.2	1.7	4	3.3	-0.618263877429763	2.59250215970581	0.241547907566093	0.777999818786738
14	+	chr14:54426908-54429755	ENSMUSG00000010406	Mrpl52	protein_coding	[54429744]	1	1650	115.5	134.9	138.9	152.1	159	133.4	155.3	149.9	0.141116167365036	7.16617394962719	0.241615667699328	0.777999818786738
7	-	chr7:110308012-110614921	ENSMUSG00000038371	Sbf2	protein_coding	[110308409, 110356670, 110429423]	3	192	13.1	13.8	14.8	17.9	19.5	20.1	14.7	17.8	0.282102701010831	4.15969641506163	0.24167258409146	0.777999818786738
19	+	chr19:8953849-8966206	ENSMUSG00000071645	Tut1	protein_coding	[8966200]	1	133	12.5	13.8	6.3	6.2	16.4	15	11.4	9.2	0.400633342254699	3.67721006457161	0.241902553276849	0.778490626437894
4	+	chr4:155962317-155966628	ENSMUSG00000023571	Fam132a	protein_coding	[155966625]	1	187	6.9	13.8	19.7	15.5	17.1	14.4	14.7	26.4	0.37441790962869	4.12588900756608	0.242023938108212	0.778631785508931
7	-	chr7:121642020-121707252	ENSMUSG00000063317	Usp31	protein_coding	[121642024, 121645467]	2	510	38.1	38	40.9	46.6	48.3	49.5	49.5	39.6	0.196477469723629	5.49830687475471	0.242453962806799	0.779360178444717
19	+	chr19:4125933-4132306	ENSMUSG00000024845	Tmem134	processed_transcript	[4131729]	1	962	90.6	80.9	86	90.8	76.4	78.2	73.6	86.5	-0.144558859102728	6.39588966574693	0.242467929339368	0.779360178444717
5	+	chr5:53809605-53903964	ENSMUSG00000039178	Tbc1d19	protein_coding	[53903731, 53883832, 53903963, 53903531]	4	646	60.2	60.2	50.1	66.7	56.1	50	56.2	47.5	-0.17751573643724	5.83565537148618	0.242496938774817	0.779360178444717
11	-	chr11:50255633-50292310	ENSMUSG00000050567	Maml1	protein_coding	[50255636]	1	94	11.1	6.9	4.2	3.9	5.5	7.5	9.4	15.2	0.51277871237594	3.23870627020197	0.242560724593607	0.779360178444717
9	+	chr9:15709737-15742383	ENSMUSG00000043885	Slc36a4	protein_coding	[15742381]	1	1601	123.8	119	136.1	143.6	134.8	161	145.9	132.7	0.1419658915385	7.1150091608076	0.24268450253384	0.779508520450876
15	-	chr15:11383662-11399657	ENSMUSG00000022241	Tars	protein_coding	[11383660]	1	486	27.7	36.7	35.3	52	39.7	29.3	52.2	63.4	0.286557040993561	5.43597416315067	0.242796723731544	0.779534199702949
18	+	chr18:76241579-76305730	ENSMUSG00000024563	Smad2	protein_coding	[76305148, 76305725]	2	234	22.1	17.3	22.6	27.9	24.9	13.8	19.4	15.8	-0.295232105192223	4.43384810103188	0.242852322106825	0.779534199702949
13	+	chr13:112464069-112510085	ENSMUSG00000021756	Il6st	protein_coding	[112509344, 112506839]	2	358	37.4	35.3	30.3	31	37.4	24.2	29.4	23.8	-0.241463907570873	5.01303793450619	0.24292533304164	0.779534199702949
X	+	chrX:73639418-73643513	ENSMUSG00000031383	Dusp9	protein_coding	[73643507]	1	35	3.5	0.7	6.3	4.7	0.8	3.5	1.3	3.3	-0.690409867242245	2.13262771996405	0.243429873064616	0.780903751217185
3	+	chr3:94837566-94882325	ENSMUSG00000038902	Pogz	protein_coding	[94882323, 94880887]	2	893	79.6	94.1	79	71.4	75.6	80.5	68.3	65.4	-0.161909176959588	6.28768619694747	0.243624926061839	0.78127993530176
9	-	chr9:50662751-50739516	ENSMUSG00000032064	Dixdc1	protein_coding	[50662754]	1	417	49.8	30.4	40.9	33.4	28.8	31.6	34.8	37	-0.223921311809639	5.21871655910778	0.243846612530059	0.781741262767927
