chr	strand	gene_locus	gene_id	gene_name	gene_biotype	sites_position_cDNA	sites_num	cDNA_sum	c1:d14_WT1	c2:d14_WT2	c3:d14_WT3	c4:d14_WT4	t1:d14_HET1	t2:d14_HET2	t3:d14_HET3	t4:d14_HET4
2	+	chr2:28506094-28506474	ENSMUSG00000063611	Gm10134	protein_coding	[28507772]	1	36	1	6	8	3	2	5	7	4
11	-	chr11:51692263-51763633	ENSMUSG00000036391	Sec24a	protein_coding	[51692263]	1	443	27	51	68	41	52	59	87	58
6	-	chr6:67035095-67037456	ENSMUSG00000036390	Gadd45a	protein_coding	[67035101]	1	103	9	11	17	8	14	9	22	13
19	+	chr19:38071928-38072052	ENSMUSG00000064646	Gm23300	snoRNA	[38074419]	1	79	3	24	12	6	8	6	13	7
9	-	chr9:26763043-26806467	ENSMUSG00000036395	Glb1l2	protein_coding	[26763044]	1	34	0	1	2	7	6	5	6	7
18	+	chr18:22344882-22530226	ENSMUSG00000045215	Asxl3	protein_coding	[22526684, 22529877]	2	725	48	120	104	87	88	84	108	86
17	-	chr17:36948355-36951740	ENSMUSG00000036398	Ppp1r11	protein_coding	[36948355]	1	122	7	24	17	23	11	13	14	13
4	-	chr4:15997120-16013887	ENSMUSG00000041153	Osgin2	protein_coding	[15997224]	1	126	7	21	16	11	19	10	18	24
5	+	chr5:117976729-118010200	ENSMUSG00000032898	Fbxo21	protein_coding	[118010002, 118010194]	2	2976	223	503	414	373	378	382	339	364
2	+	chr2:164879303-164894453	ENSMUSG00000039849	Pcif1	protein_coding	[164894450, 164883159]	2	309	24	42	47	39	51	24	37	45
8	+	chr8:18595130-18803188	ENSMUSG00000039842	Mcph1	protein_coding	[18808091]	1	58	5	10	9	7	5	8	5	9
18	+	chr18:77938466-78035026	ENSMUSG00000039840	Epg5	protein_coding	[78035010]	1	224	16	41	38	22	30	20	34	23
6	-	chr6:28239926-28398004	ENSMUSG00000039841	Zfp800	protein_coding	[28239930]	1	62	7	10	9	7	8	9	2	10
16	-	chr16:31947049-31948493	ENSMUSG00000107002	NCBP2-AS2	protein_coding	[31947772]	1	521	49	69	86	74	54	63	56	70
9	-	chr9:52673043-52679428	ENSMUSG00000078307	AI593442	protein_coding	[52673043, 52676181]	2	1557	116	244	221	162	195	179	235	205
X	+	chrX:47912386-47965867	ENSMUSG00000001173	Ocrl	protein_coding	[47965862]	1	1424	115	254	209	178	157	197	173	141
11	-	chr11:77508098-77515979	ENSMUSG00000044328	Trp53i13	protein_coding	[77508108]	1	99	5	20	12	16	12	15	10	9
12	+	chr12:100199434-100209805	ENSMUSG00000001175	Calm1	protein_coding	[100206489, 100207310]	2	28685	2140	4500	4305	3288	3452	3356	3804	3840
4	+	chr4:94739288-94874975	ENSMUSG00000006386	Tek	protein_coding	[94874937]	1	65	6	8	9	6	9	18	6	3
15	+	chr15:99126577-99213205	ENSMUSG00000051934	Spats2	protein_coding	[99213212]	1	545	46	103	81	56	65	62	60	72
10	+	chr10:86300371-86349505	ENSMUSG00000020044	Timp3	protein_coding	[86347421, 86349094]	2	188	16	32	15	20	29	38	28	10
7	+	chr7:129257093-129391306	ENSMUSG00000070366	Ppapdc1a	protein_coding	[129391409]	1	216	19	32	40	20	30	21	25	29
10	+	chr10:85386813-85660291	ENSMUSG00000020042	Btbd11	protein_coding	[85660290]	1	501	50	76	64	43	60	69	69	70
3	-	chr3:129914959-129970205	ENSMUSG00000027994	Ccdc109b	protein_coding	[129914976]	1	42	1	8	9	1	3	7	6	7
2	-	chr2:129268209-129297211	ENSMUSG00000048327	Ckap2l	protein_coding	[129268210]	1	77	6	9	14	8	13	10	11	6
7	+	chr7:29859978-29877291	ENSMUSG00000058402	Zfp420	protein_coding	[29877287]	1	93	6	13	8	13	12	15	12	14
15	-	chr15:58022258-58034324	ENSMUSG00000101892	9130401M01Rik	protein_coding	[58022273]	1	615	55	106	89	72	62	77	79	75
19	+	chr19:5473972-5481852	ENSMUSG00000024909	Efemp2	protein_coding	[5481851]	1	41	2	7	10	2	3	6	2	9
19	-	chr19:3454932-3575748	ENSMUSG00000024908	Ppp6r3	protein_coding	[3454930]	1	1962	105	311	266	212	266	249	279	274
19	-	chr19:3409918-3414471	ENSMUSG00000024907	Gal	protein_coding	[3409917]	1	271	17	47	39	33	40	36	27	32
19	-	chr19:5482344-5488401	ENSMUSG00000024906	Mus81	protein_coding	[5482841]	1	65	5	11	11	9	7	6	7	9
19	+	chr19:3323300-3385731	ENSMUSG00000024900	Cpt1a	protein_coding	[3385731]	1	208	11	42	28	23	17	27	40	20
17	-	chr17:24047733-24073484	ENSMUSG00000016946	Kctd5	protein_coding	[24047741]	1	603	50	114	97	60	67	60	100	55
19	+	chr19:4962305-4966994	ENSMUSG00000024902	Mrpl11	protein_coding	[4966992, 4964945]	2	981	61	176	120	114	130	127	122	131
11	-	chr11:59461196-59472473	ENSMUSG00000054519	Zfp867	protein_coding	[59461796]	1	108	6	18	11	9	13	20	20	11
12	+	chr12:8208106-8285757	ENSMUSG00000037669	Ldah	protein_coding	[8285757]	1	309	23	61	42	28	44	33	41	37
11	-	chr11:69686249-69695848	ENSMUSG00000097328	Tnfsf12	protein_coding	[69686357]	1	52	7	9	8	7	4	5	4	8
7	+	chr7:132610637-132706419	ENSMUSG00000030946	Lhpp	protein_coding	[132706418]	1	134	13	30	17	9	12	15	18	20
7	-	chr7:119715095-119720764	ENSMUSG00000030942	Thumpd1	protein_coding	[119715095]	1	631	39	92	85	61	83	72	107	92
16	-	chr16:62732443-62786817	ENSMUSG00000050312	Nsun3	protein_coding	[62732443]	1	156	7	29	23	17	15	25	23	17
7	-	chr7:114315478-114415160	ENSMUSG00000087475	4933406I18Rik	lincRNA	[114398626]	1	40	3	7	3	3	7	3	8	6
6	-	chr6:120931706-121130998	ENSMUSG00000051586	Mical3	protein_coding	[120997312, 120931721, 121126655]	3	292	24	54	45	32	41	33	36	27
6	-	chr6:84618486-85069512	ENSMUSG00000033769	Exoc6b	protein_coding	[84615328, 84833323]	2	275	17	34	36	29	29	38	46	46
8	-	chr8:72814598-73353539	ENSMUSG00000004383	Large	protein_coding	[72976210, 72814598]	2	1061	67	176	157	136	123	133	140	129
3	-	chr3:83897654-84040174	ENSMUSG00000033767	D930015E06Rik	protein_coding	[83898208, 83897654]	2	639	47	116	94	79	73	78	68	84
19	+	chr19:4756542-4767064	ENSMUSG00000033760	Rbm4b	protein_coding	[4765937]	1	2424	185	349	344	272	333	233	369	339
8	+	chr8:110721475-110741399	ENSMUSG00000033763	Mtss1l	protein_coding	[110741397, 110739934]	2	1375	108	212	192	149	177	159	176	202
11	-	chr11:88039577-88047359	ENSMUSG00000096983	2010015M23Rik	lincRNA	[88046807]	1	62	5	11	8	8	4	6	10	10
9	-	chr9:106892824-107231908	ENSMUSG00000039716	Dock3	protein_coding	[106893107, 107023772]	2	607	34	93	100	74	79	81	76	70
1	+	chr1:120602417-120607991	ENSMUSG00000058665	En1	protein_coding	[120607988]	1	52	5	12	7	4	6	4	9	5
3	-	chr3:123076518-123236148	ENSMUSG00000050315	Synpo2	protein_coding	[123110964]	1	56	5	11	7	5	5	11	5	7
7	+	chr7:35334169-35392288	ENSMUSG00000030494	Rhpn2	protein_coding	[35392284]	1	85	8	16	14	4	13	7	13	10
4	-	chr4:134129857-134187111	ENSMUSG00000037443	Cep85	protein_coding	[134129858]	1	91	10	12	15	5	7	9	16	17
3	-	chr3:9427019-9610084	ENSMUSG00000040209	Zfp704	protein_coding	[9428683, 9427020]	2	468	29	70	88	46	61	50	79	45
6	-	chr6:137477244-137654875	ENSMUSG00000015766	Eps8	protein_coding	[137477673, 137473042]	2	155	19	18	22	19	17	19	21	20
12	+	chr12:29528383-29923208	ENSMUSG00000061911	Myt1l	protein_coding	[29922040, 29569129]	2	3246	237	524	482	352	396	403	397	455
3	-	chr3:105678269-105687573	ENSMUSG00000027905	Ddx20	protein_coding	[105678276]	1	253	14	46	55	26	30	24	34	24
3	+	chr3:93520487-93526286	ENSMUSG00000027907	S100a11	protein_coding	[93526286]	1	361	35	73	46	34	40	60	37	36
4	-	chr4:11051044-11076204	ENSMUSG00000050323	Ndufaf6	protein_coding	[11051078]	1	68	4	13	8	5	10	4	12	12
6	-	chr6:115618066-115676634	ENSMUSG00000000441	Raf1	protein_coding	[115618597]	1	1621	123	274	246	202	189	206	185	196
8	-	chr8:23226609-23237667	ENSMUSG00000031546	Gins4	protein_coding	[23226826]	1	47	1	8	6	4	8	7	10	3
8	-	chr8:23172945-23208452	ENSMUSG00000031545	Agpat6	protein_coding	[23173734]	1	1336	88	213	193	168	137	169	176	192
15	-	chr15:66929320-66969639	ENSMUSG00000005125	Ndrg1	protein_coding	[66929321]	1	718	68	153	94	72	78	96	87	70
15	+	chr15:102936756-102938608	ENSMUSG00000050328	Hoxc12	protein_coding	[102940852]	1	1092	124	168	139	136	81	141	164	139
7	-	chr7:28293552-28302237	ENSMUSG00000003436	Dll3	protein_coding	[28293712]	1	493	44	79	67	41	45	68	73	76
7	+	chr7:28392950-28399387	ENSMUSG00000003437	Paf1	protein_coding	[28399380]	1	809	58	178	83	121	102	125	62	80
7	-	chr7:28314897-28338718	ENSMUSG00000003435	Supt5	protein_coding	[28314897]	1	661	47	125	81	70	77	86	100	75
1	+	chr1:178187416-178257300	ENSMUSG00000026502	Desi2	protein_coding	[178252591]	1	372	26	72	61	36	47	33	53	44
15	-	chr15:99734880-99772884	ENSMUSG00000023021	Cers5	protein_coding	[99735591]	1	1438	85	252	210	180	181	179	171	180
1	+	chr1:178319129-178322692	ENSMUSG00000026500	Cox20	protein_coding	[178322531, 178322686]	2	544	35	91	104	40	57	67	75	75
15	-	chr15:72805599-72810323	ENSMUSG00000106847	Peg13	sense_intronic	[72805601]	1	1587	86	237	193	191	220	216	204	240
1	+	chr1:32172713-32658567	ENSMUSG00000026058	Khdrbs2	protein_coding	[32466909]	1	48	4	6	7	1	6	11	5	8
7	-	chr7:28305515-28312071	ENSMUSG00000003438	Timm50	protein_coding	[28305823]	1	88	7	15	12	7	12	18	11	6
6	+	chr6:140622662-140678471	ENSMUSG00000030232	Aebp2	protein_coding	[140652824, 140653792, 140655300]	3	726	59	93	92	90	90	82	115	105
15	-	chr15:89182216-89196473	ENSMUSG00000015377	Dennd6b	protein_coding	[89182216]	1	263	20	50	28	27	21	35	45	37
1	+	chr1:55131230-55154898	ENSMUSG00000025979	Mob4	protein_coding	[55153072, 55154846]	2	3956	292	688	577	417	483	523	489	487
1	-	chr1:55170158-55226781	ENSMUSG00000025978	Rftn2	protein_coding	[55171747]	1	43	5	6	8	0	8	2	6	8
6	-	chr6:135713232-136173510	ENSMUSG00000030209	Grin2b	protein_coding	[135725904, 135717789, 135961015]	3	1439	102	220	205	152	155	194	205	206
1	+	chr1:57406327-57417952	ENSMUSG00000025971	9430016H08Rik	protein_coding	[57415903]	1	234	25	30	37	22	23	33	35	29
9	+	chr9:109889642-109889709	ENSMUSG00000098490	Mir7089	miRNA	[109893894]	1	227	15	26	41	30	20	29	27	39
17	-	chr17:36037127-36042746	ENSMUSG00000056116	H2-T22	protein_coding	[36038408]	1	111	8	24	18	14	16	11	10	10
X	-	chrX:133582859-133688986	ENSMUSG00000051323	Pcdh19	protein_coding	[133583000, 133582863]	2	99	13	13	16	8	13	10	12	14
7	-	chr7:73541830-73558394	ENSMUSG00000098496	1810026B05Rik	processed_transcript	[73543902]	1	58	3	11	9	3	8	9	8	7
2	+	chr2:90677214-90736327	ENSMUSG00000051329	Nup160	protein_coding	[90736326]	1	79	3	15	9	12	8	12	9	11
14	-	chr14:54614119-54617994	ENSMUSG00000022193	Psmb5	protein_coding	[54614117]	1	546	35	111	64	78	68	87	53	50
8	+	chr8:109565891-109574050	ENSMUSG00000031723	Txnl4b	protein_coding	[109574039]	1	108	7	17	13	16	11	12	18	14
13	-	chr13:70727801-70841810	ENSMUSG00000049538	Adamts16	protein_coding	[70727808]	1	218	21	36	26	22	35	29	31	18
15	-	chr15:12359710-12739923	ENSMUSG00000022197	Pdzd2	protein_coding	[12359712]	1	160	8	25	28	16	27	18	19	19
14	-	chr14:54906726-54913131	ENSMUSG00000022199	Slc22a17	protein_coding	[54906738]	1	1674	136	256	223	159	222	181	246	251
X	+	chrX:136707981-136711477	ENSMUSG00000049536	Tceal1	protein_coding	[136709870]	1	471	40	88	75	40	54	61	65	48
8	-	chr8:109671321-109693293	ENSMUSG00000031729	Ist1	protein_coding	[109671327]	1	1696	125	264	246	217	216	186	218	224
8	+	chr8:109705548-109724931	ENSMUSG00000031728	Zfp821	protein_coding	[109724931]	1	574	39	94	91	51	74	76	74	75
10	+	chr10:77581719-77598731	ENSMUSG00000009291	Pttg1ip	protein_coding	[77598730]	1	805	79	139	116	85	98	87	95	106
17	-	chr17:24961227-25015229	ENSMUSG00000038002	Cramp1l	protein_coding	[24961227]	1	242	13	43	42	37	33	25	29	20
8	+	chr8:60890417-60907579	ENSMUSG00000038005	2700029M09Rik	protein_coding	[60907570]	1	635	55	118	93	64	75	85	71	74
4	+	chr4:86874395-86934821	ENSMUSG00000038007	Acer2	protein_coding	[86920873, 86932619, 86934820]	3	230	21	42	30	19	36	35	21	26
7	-	chr7:24969749-24972727	ENSMUSG00000003380	Rabac1	protein_coding	[24969760]	1	2047	154	397	288	203	257	238	261	249
9	+	chr9:64960831-64986973	ENSMUSG00000034263	Vwa9	protein_coding	[64986635]	1	88	12	10	13	4	15	7	15	12
17	+	chr17:5492599-5753890	ENSMUSG00000034265	Zdhhc14	protein_coding	[5753794]	1	181	19	19	18	12	26	24	34	29
17	-	chr17:22846696-22867133	ENSMUSG00000059142	Zfp945	protein_coding	[22858944, 22847482]	2	187	10	42	27	21	16	28	18	25
9	+	chr9:44407713-44410404	ENSMUSG00000009927	Rps25	protein_coding	[44410193, 44410404]	2	181	15	36	23	19	16	26	23	23
15	-	chr15:64699041-64922295	ENSMUSG00000022376	Adcy8	protein_coding	[64699041]	1	139	15	29	25	10	18	17	18	7
15	-	chr15:64086856-64382918	ENSMUSG00000022377	Asap1	protein_coding	[64086856, 64158991]	2	812	57	133	119	76	106	106	129	86
15	-	chr15:55534093-55557747	ENSMUSG00000022370	Mrpl13	protein_coding	[55534094]	1	506	39	73	77	48	64	56	86	63
6	-	chr6:42623015-42645253	ENSMUSG00000029851	Tcaf2	protein_coding	[42623018]	1	73	0	14	14	4	8	11	14	8
15	-	chr15:66780818-66831828	ENSMUSG00000022372	Sla	protein_coding	[66780874]	1	70	4	16	8	7	13	9	4	9
6	-	chr6:22306519-22356242	ENSMUSG00000029672	Fam3c	protein_coding	[22307882, 22306527]	2	1151	74	195	182	103	134	140	155	168
5	-	chr5:131437332-132543343	ENSMUSG00000029673	Auts2	protein_coding	[131437334, 131437815]	2	857	43	146	112	100	110	120	101	125
5	-	chr5:134656038-134688597	ENSMUSG00000029674	Limk1	protein_coding	[134656052]	1	762	55	143	119	62	90	98	87	108
5	-	chr5:134702592-134747322	ENSMUSG00000029675	Eln	protein_coding	[134702594, 134702838]	2	1086	72	322	179	111	67	182	97	56
6	-	chr6:25743736-25809245	ENSMUSG00000029676	Pot1a	protein_coding	[25743945]	1	345	22	63	38	46	44	40	45	47
16	-	chr16:42248441-42340650	ENSMUSG00000047261	Gap43	protein_coding	[42248443]	1	14432	1133	2691	2140	1463	1793	1900	1783	1529
11	-	chr11:73175518-73177036	ENSMUSG00000047260	Emc6	protein_coding	[73175521, 73176196]	2	2199	174	391	301	237	273	280	275	268
17	-	chr17:32120819-32166879	ENSMUSG00000038146	Notch3	protein_coding	[32120825]	1	562	28	84	70	62	72	84	86	76
8	-	chr8:47180047-47352347	ENSMUSG00000038143	Stox2	protein_coding	[47180055]	1	4892	365	851	700	572	607	695	563	539
11	-	chr11:61864567-61868057	ENSMUSG00000072847	A530017D24Rik	lincRNA	[61865203]	1	93	8	21	15	2	7	17	12	11
3	-	chr3:95734146-95739568	ENSMUSG00000028108	Ecm1	protein_coding	[95734147]	1	43	1	10	8	3	5	8	3	5
10	-	chr10:128697938-128705050	ENSMUSG00000025358	Cdk2	protein_coding	[128697944]	1	190	15	32	24	16	29	24	25	25
7	+	chr7:4690603-4715996	ENSMUSG00000035390	Brsk1	protein_coding	[4715995]	1	1101	85	161	168	121	125	157	120	164
8	-	chr8:25998728-26015600	ENSMUSG00000015994	Fnta	protein_coding	[25998971]	1	1426	97	250	196	133	178	180	198	194
3	+	chr3:96696383-96706069	ENSMUSG00000028101	Pias3	protein_coding	[96705961]	1	593	44	96	79	69	85	60	71	89
10	-	chr10:128882294-128891717	ENSMUSG00000025352	Gdf11	protein_coding	[128882297]	1	104	13	17	17	15	11	15	8	8
8	+	chr8:71611023-71624908	ENSMUSG00000034807	Colgalt1	protein_coding	[71624904]	1	1799	134	355	231	198	213	260	213	195
3	+	chr3:96635375-96645365	ENSMUSG00000028102	Pex11b	protein_coding	[96644725]	1	460	36	68	75	49	62	48	69	53
12	-	chr12:69583761-69681851	ENSMUSG00000034801	Sos2	protein_coding	[69583765]	1	505	43	85	71	53	74	60	53	66
2	-	chr2:127574661-127587093	ENSMUSG00000034800	Zfp661	protein_coding	[127575534]	1	63	4	8	11	5	9	8	9	9
3	-	chr3:95739975-95760205	ENSMUSG00000028107	Tars2	protein_coding	[95739975]	1	155	18	26	20	15	14	24	21	17
3	-	chr3:95760340-95818862	ENSMUSG00000028106	Rprd2	protein_coding	[95761024, 95763280, 95760515, 95760347]	4	724	49	122	103	92	80	75	106	97
14	+	chr14:66911169-66920053	ENSMUSG00000046204	Pnma2	protein_coding	[66920052]	1	498	48	76	74	52	56	41	80	71
10	-	chr10:120923412-120979331	ENSMUSG00000048661	Lemd3	protein_coding	[120923417]	1	1035	66	175	167	129	119	117	140	122
17	+	chr17:3114971-3198854	ENSMUSG00000046201	Scaf8	protein_coding	[3198856]	1	311	29	47	55	31	42	41	30	36
X	+	chrX:36795650-36798806	ENSMUSG00000016319	Slc25a5	protein_coding	[36798805]	1	1799	140	288	249	217	221	188	257	239
9	+	chr9:108490601-108502336	ENSMUSG00000006676	Usp19	protein_coding	[108501696, 108502315]	2	833	68	145	124	97	89	120	95	95
17	+	chr17:68837135-68843137	ENSMUSG00000095407	Tmem200c	protein_coding	[68843132]	1	47	4	7	3	7	9	3	9	5
8	+	chr8:20550330-20581998	ENSMUSG00000095403	Gm21092	protein_coding	[20580617]	1	86	6	28	11	4	13	2	13	9
11	-	chr11:120345689-120348541	ENSMUSG00000062825	Actg1	protein_coding	[120345688]	1	119	16	19	9	16	13	12	17	17
1	-	chr1:33852051-33907815	ENSMUSG00000042182	Bend6	protein_coding	[33852053]	1	1784	144	295	266	188	214	201	254	222
9	+	chr9:31386191-31421332	ENSMUSG00000042185	Nfrkb	protein_coding	[31421330]	1	341	29	77	42	34	40	56	38	25
4	-	chr4:120968316-121017246	ENSMUSG00000032870	Smap2	protein_coding	[120968322, 120969523]	2	840	63	169	119	95	89	92	107	106
13	+	chr13:119462758-119486116	ENSMUSG00000062822	4833420G17Rik	protein_coding	[119486116, 119464332]	2	995	55	185	135	102	121	164	119	114
1	-	chr1:160202366-160212874	ENSMUSG00000014226	Cacybp	protein_coding	[160203168, 160202924]	2	1816	117	310	291	174	216	219	247	242
MT	+	chrMT:3913-4950	ENSMUSG00000064345	mt-Nd2	protein_coding	[4710]	1	166	9	21	22	14	26	21	23	30
MT	+	chrMT:2750-3706	ENSMUSG00000064341	mt-Nd1	protein_coding	[3488, 2905, 3203]	3	948	74	183	111	92	119	121	132	116
13	-	chr13:30540307-30545361	ENSMUSG00000038462	Uqcrfs1	protein_coding	[30540313, 30540452]	2	3599	276	586	563	346	400	408	519	501
11	+	chr11:120458114-120464357	ENSMUSG00000049957	Ccdc137	protein_coding	[120464356]	1	83	7	12	8	7	13	13	16	7
9	-	chr9:96823335-96892668	ENSMUSG00000043587	Pxylp1	protein_coding	[96823343]	1	539	39	73	77	76	66	58	64	86
2	-	chr2:3328948-3332642	ENSMUSG00000049950	Rpp38	protein_coding	[3328949]	1	38	2	5	6	4	3	6	6	6
1	-	chr1:151367698-151428454	ENSMUSG00000052748	Swt1	protein_coding	[151367698]	1	188	16	28	29	21	22	15	30	27
11	-	chr11:29743047-30026032	ENSMUSG00000044072	Eml6	protein_coding	[29776371, 29825847]	2	79	6	13	9	7	9	11	14	10
16	+	chr16:11322907-11755471	ENSMUSG00000071669	Snx29	protein_coding	[11759093]	1	442	31	88	72	49	57	55	41	49
5	+	chr5:88720854-88764219	ENSMUSG00000006262	Mob1b	protein_coding	[88762055]	1	323	21	37	48	26	31	44	57	59
9	-	chr9:20345135-20385176	ENSMUSG00000045519	Zfp560	protein_coding	[20352583, 20345135]	2	162	13	27	27	17	20	16	22	20
15	+	chr15:79002222-79002283	ENSMUSG00000099180	Mir6956	miRNA	[79005861]	1	122	9	18	14	8	27	23	14	9
1	+	chr1:42695767-42703175	ENSMUSG00000045515	Pou3f3	protein_coding	[42700206]	1	1129	82	192	180	125	125	119	158	148
11	-	chr11:86210680-86257574	ENSMUSG00000018068	Ints2	protein_coding	[86210682]	1	197	14	36	25	23	20	26	27	26
9	-	chr9:95456897-95511995	ENSMUSG00000032407	U2surp	protein_coding	[95461433, 95457564, 95456897]	3	542	38	90	63	70	72	63	67	79
9	-	chr9:62880076-62980878	ENSMUSG00000032405	Pias1	protein_coding	[62879412, 62880077, 62878367]	3	450	31	74	78	50	53	58	58	48
9	-	chr9:63394446-63399245	ENSMUSG00000032403	2300009A05Rik	protein_coding	[63394446]	1	1101	80	204	159	134	142	153	117	112
9	-	chr9:64137143-64173103	ENSMUSG00000032400	Zwilch	protein_coding	[64137145]	1	44	2	11	10	5	2	3	4	7
12	-	chr12:34371502-34528888	ENSMUSG00000004698	Hdac9	protein_coding	[34371502]	1	509	31	111	55	73	77	60	53	49
8	-	chr8:129216353-129234405	ENSMUSG00000071302	2610044O15Rik8	protein_coding	[129216664]	1	47	6	11	3	5	9	5	3	5
17	+	chr17:26676395-26699643	ENSMUSG00000015575	Atp6v0e	protein_coding	[26699643]	1	405	35	79	53	40	50	46	47	55
10	-	chr10:29453108-29535866	ENSMUSG00000019880	Rspo3	protein_coding	[29453108]	1	51	7	9	8	4	4	6	5	8
7	+	chr7:16875316-16887300	ENSMUSG00000078794	Dact3	protein_coding	[16887292]	1	877	78	153	126	131	105	118	88	78
10	+	chr10:29313165-29346660	ENSMUSG00000019883	Echdc1	protein_coding	[29345947, 29345453]	2	127	11	16	24	7	20	13	15	21
10	+	chr10:28074819-28597396	ENSMUSG00000019889	Ptprk	protein_coding	[28596036, 28596789, 28597317]	3	537	48	96	76	57	50	80	68	62
1	+	chr1:83159751-83210573	ENSMUSG00000053161	Daw1	protein_coding	[83210569]	1	67	8	14	11	5	12	5	6	6
2	-	chr2:52397950-52424900	ENSMUSG00000036093	Arl5a	protein_coding	[52397953]	1	2082	157	335	304	206	261	251	297	271
17	+	chr17:5841327-5931032	ENSMUSG00000002365	Snx9	protein_coding	[5931954]	1	114	6	16	20	9	15	20	17	11
2	+	chr2:37516331-37520602	ENSMUSG00000053164	Gpr21	protein_coding	[37519302]	1	43	3	6	5	6	1	6	10	6
2	-	chr2:165111506-165234852	ENSMUSG00000053166	Cdh22	protein_coding	[165111508]	1	393	32	61	60	58	52	44	52	34
10	-	chr10:93939164-94035816	ENSMUSG00000036099	Vezt	protein_coding	[93961522, 93963068]	2	432	34	64	50	55	53	54	65	57
4	+	chr4:148558428-148582400	ENSMUSG00000017264	Exosc10	protein_coding	[148576809]	1	151	11	20	24	16	26	14	23	17
3	-	chr3:51685906-52105075	ENSMUSG00000061143	Maml3	protein_coding	[51687332, 51687614]	2	107	7	19	18	10	10	18	15	10
11	-	chr11:70663770-70669415	ENSMUSG00000018287	Spag7	protein_coding	[70663787]	1	2347	169	383	316	291	271	259	329	329
11	+	chr11:70525366-70527857	ENSMUSG00000018286	Psmb6	protein_coding	[70527856, 70527645]	2	3111	212	588	466	377	400	387	360	321
19	-	chr19:7425900-7483288	ENSMUSG00000024758	Rtn3	protein_coding	[7427001, 7425900]	2	10411	827	1715	1489	1178	1250	1210	1410	1332
13	-	chr13:56288646-56296550	ENSMUSG00000021508	Cxcl14	protein_coding	[56288646]	1	34	5	9	3	6	2	5	2	2
1	-	chr1:59120934-59163388	ENSMUSG00000079550	Mpp4	protein_coding	[59162930]	1	479	41	60	78	43	61	69	66	61
2	+	chr2:125136691-125147838	ENSMUSG00000074872	Ctxn2	protein_coding	[125147840]	1	649	56	108	92	55	89	91	89	69
13	+	chr13:55623004-55632410	ENSMUSG00000021501	Caml	protein_coding	[55632408]	1	420	25	68	49	50	50	55	64	59
17	-	chr17:30592865-30612658	ENSMUSG00000024026	Glo1	protein_coding	[30592865]	1	650	59	106	72	67	81	79	93	93
2	+	chr2:122630624-122632929	ENSMUSG00000074876	Spata5l1	processed_transcript	[122633011]	1	58	4	11	8	6	5	4	10	10
17	-	chr17:33685691-33718669	ENSMUSG00000079557	March2	protein_coding	[33691529]	1	111	8	28	16	11	11	19	6	12
6	+	chr6:45135269-45137481	ENSMUSG00000108070	RP23-477A19.2	TEC	[45138708]	1	92	8	16	17	15	13	10	6	7
9	-	chr9:118890074-118926454	ENSMUSG00000086119	Gm2415	antisense	[118924452]	1	208	20	37	20	18	15	39	20	39
11	-	chr11:60864451-60879271	ENSMUSG00000043284	Tmem11	protein_coding	[60864453]	1	1070	73	147	161	118	158	155	128	130
18	+	chr18:62548910-62661365	ENSMUSG00000044176	Spink10	protein_coding	[62549052]	1	443	42	64	54	45	53	68	53	64
11	-	chr11:94235955-94246004	ENSMUSG00000044177	Wfikkn2	protein_coding	[94235957]	1	39	3	10	4	7	6	8	1	0
9	-	chr9:107650633-107669529	ENSMUSG00000010064	Slc38a3	protein_coding	[107651158]	1	240	24	45	36	18	32	34	23	28
9	+	chr9:107551554-107562266	ENSMUSG00000010067	Rassf1	protein_coding	[107562260]	1	465	31	78	72	47	54	67	58	58
X	+	chrX:74297096-74304720	ENSMUSG00000019087	Atp6ap1	protein_coding	[74304689]	1	6053	456	1332	722	716	793	888	606	540
7	-	chr7:141429743-141437891	ENSMUSG00000019082	Slc25a22	protein_coding	[141429751]	1	651	52	104	81	67	79	82	94	92
2	-	chr2:74652990-74659556	ENSMUSG00000001815	Evx2	protein_coding	[74652991]	1	65	3	12	8	13	6	5	8	10
X	+	chrX:134295224-134305968	ENSMUSG00000033578	Tmem35	protein_coding	[134305967]	1	12477	901	2025	1713	1396	1626	1628	1579	1609
8	+	chr8:105880880-105893565	ENSMUSG00000036270	Edc4	protein_coding	[105893223]	1	56	4	8	4	7	10	5	10	8
15	+	chr15:91673174-91816119	ENSMUSG00000036273	Lrrk2	protein_coding	[91816025]	1	37	4	6	6	2	7	4	5	3
19	+	chr19:7056767-7198060	ENSMUSG00000036278	Macrod1	protein_coding	[7198060]	1	36	6	3	1	3	4	5	9	5
9	+	chr9:80165030-80311728	ENSMUSG00000033577	Myo6	protein_coding	[80311722, 80309391]	2	1351	104	238	181	167	166	168	171	156
17	-	chr17:23824739-23829108	ENSMUSG00000055839	Tceb2	protein_coding	[23824809]	1	1825	143	301	268	176	221	236	266	214
16	-	chr16:90936091-91011307	ENSMUSG00000022973	Synj1	protein_coding	[90936097]	1	1629	132	266	231	174	215	187	209	215
5	-	chr5:140758407-140830430	ENSMUSG00000000149	Gna12	protein_coding	[140758418]	1	191	16	35	22	24	27	30	17	20
5	+	chr5:140705010-140719378	ENSMUSG00000000148	Brat1	protein_coding	[140719375]	1	141	11	27	22	13	16	17	15	20
16	-	chr16:90719311-90727403	ENSMUSG00000022978	Mis18a	protein_coding	[90719323]	1	200	20	37	17	19	17	32	26	32
