chr	strand	gene_locus	gene_id	gene_name	gene_biotype	sites_position_cDNA	sites_num	cDNA_sum	c1:KO_WT1	c2:KO_WT2	c3:KO_WT3	c4:KO_WT4	t1:KO_HOM1	t2:KO_HOM2	t3:KO_HOM3	t4:KO_HOM4
7	-	chr7:143634805-143649660	ENSMUSG00000010751	Tnfrsf22	protein_coding	[143634809]	1	37	6	5	0	7	4	6	4	5
7	+	chr7:64392770-64412115	ENSMUSG00000033429	Mcee	protein_coding	[64412113]	1	485	52	44	48	49	49	70	63	110
6	-	chr6:87133852-87335820	ENSMUSG00000033420	Antxr1	protein_coding	[87133853, 87134630]	2	289	32	41	18	43	31	41	37	46
18	-	chr18:36403678-36454494	ENSMUSG00000024346	Pfdn1	protein_coding	[36404083]	1	1731	217	198	204	195	191	268	204	254
5	-	chr5:115345641-115348980	ENSMUSG00000041697	Cox6a1	protein_coding	[115345654]	1	12556	1458	1581	1452	1328	1321	1890	1526	2000
X	-	chrX:53051193-53053158	ENSMUSG00000101603	Gm28730	lincRNA	[53053113]	1	231	14	29	22	43	24	16	26	57
8	-	chr8:3150921-3279616	ENSMUSG00000005534	Insr	protein_coding	[3153234, 3150933]	2	608	86	77	66	65	67	83	75	89
7	-	chr7:143212154-143296548	ENSMUSG00000101609	Kcnq1ot1	antisense	[143219601, 143208965]	2	131	18	15	10	16	16	15	21	20
7	+	chr7:67952858-68226779	ENSMUSG00000005533	Igf1r	protein_coding	[68230424]	1	41	5	8	6	4	7	3	4	4
6	-	chr6:72385222-72390702	ENSMUSG00000050732	Vamp8	protein_coding	[72385229]	1	159	19	14	22	17	24	27	12	24
1	-	chr1:34813218-34843064	ENSMUSG00000037503	Fam168b	protein_coding	[34813226, 34841708]	2	3346	422	427	428	332	364	469	484	420
4	-	chr4:142030991-142084303	ENSMUSG00000040616	Tmem51	protein_coding	[142030992]	1	154	18	21	16	15	15	28	20	21
1	+	chr1:166254138-166316822	ENSMUSG00000040612	Ildr2	protein_coding	[166315490, 166316821]	2	497	56	65	59	53	69	66	57	72
11	-	chr11:33200751-33203588	ENSMUSG00000040610	Tlx3	protein_coding	[33200749]	1	726	81	110	92	74	87	124	102	56
X	-	chrX:103184175-103186639	ENSMUSG00000082229	Nap1l2	protein_coding	[103184379]	1	32	4	2	6	2	2	5	5	6
6	-	chr6:95473008-95718799	ENSMUSG00000061838	Suclg2	protein_coding	[95474146]	1	204	27	24	22	25	21	19	24	42
2	+	chr2:71055327-71099141	ENSMUSG00000041966	Dcaf17	protein_coding	[71095857]	1	130	17	20	14	18	17	14	17	13
6	+	chr6:77242688-77257790	ENSMUSG00000060780	Lrrtm1	protein_coding	[77245508]	1	446	70	48	51	52	54	59	50	62
6	-	chr6:124810585-124814295	ENSMUSG00000023456	Tpi1	protein_coding	[124810715]	1	1988	224	260	197	211	229	263	253	351
1	+	chr1:74506057-74530841	ENSMUSG00000026174	Rqcd1	protein_coding	[74530840]	1	512	59	58	58	55	63	87	64	68
1	+	chr1:74588288-74592442	ENSMUSG00000026172	Bcs1l	protein_coding	[74592194]	1	76	9	6	7	12	8	11	6	17
7	-	chr7:66226911-66388349	ENSMUSG00000015133	Lrrk1	protein_coding	[66258749]	1	84	11	10	10	15	8	13	7	10
1	+	chr1:74284929-74353693	ENSMUSG00000026179	Pnkd	protein_coding	[74287450]	1	272	24	24	39	38	28	46	38	35
6	+	chr6:88193890-88207031	ENSMUSG00000015053	Gata2	protein_coding	[88207028]	1	86	12	9	14	9	6	8	19	9
9	+	chr9:27790774-28925409	ENSMUSG00000062257	Opcml	protein_coding	[27917120]	1	45	3	3	8	5	7	7	6	6
7	-	chr7:81342731-81345253	ENSMUSG00000061787	Rps17	protein_coding	[81342729]	1	597	68	54	77	50	76	102	92	78
5	+	chr5:138754513-138810076	ENSMUSG00000025854	Fam20c	protein_coding	[138772705, 138810061]	2	1309	165	155	175	160	125	219	151	159
5	-	chr5:139017305-139150000	ENSMUSG00000025855	Prkar1b	protein_coding	[139143779]	1	46	6	3	7	6	6	7	5	6
5	-	chr5:138976013-138997369	ENSMUSG00000025856	Pdgfa	protein_coding	[138976388]	1	161	14	21	24	25	17	28	16	16
5	+	chr5:139150222-139186509	ENSMUSG00000025857	Dnaaf5	protein_coding	[139186506]	1	479	51	59	68	55	44	77	49	76
11	-	chr11:35797381-35798883	ENSMUSG00000051062	Fbll1	protein_coding	[35797380]	1	1364	193	173	173	167	155	213	175	115
9	-	chr9:57790352-57836792	ENSMUSG00000004661	Arid3b	protein_coding	[57790353]	1	132	12	18	17	9	19	17	27	13
10	+	chr10:79988583-79996061	ENSMUSG00000004665	Cnn2	protein_coding	[79995385]	1	93	9	8	12	12	11	10	12	19
13	+	chr13:24943151-24990752	ENSMUSG00000021340	Gpld1	protein_coding	[24990752]	1	69	19	12	2	6	9	6	7	8
1	-	chr1:152370734-152386687	ENSMUSG00000014980	Tsen15	protein_coding	[152370738]	1	274	35	32	29	34	33	28	43	40
X	-	chrX:162857056-162888446	ENSMUSG00000031357	Syap1	protein_coding	[162856849]	1	416	51	49	51	44	46	56	54	65
11	-	chr11:6615597-6626066	ENSMUSG00000000384	Tbrg4	protein_coding	[6615601]	1	394	44	42	43	40	47	60	54	64
X	-	chrX:169250192-169320371	ENSMUSG00000031352	Hccs	protein_coding	[169311536]	1	368	52	41	49	56	33	42	48	47
X	+	chrX:162760401-162779091	ENSMUSG00000031353	Rbbp7	protein_coding	[162772561]	1	49	5	8	8	6	5	8	3	6
X	+	chrX:98936315-98949016	ENSMUSG00000047694	Yipf6	protein_coding	[98948136, 98948883]	2	155	20	22	25	7	16	27	14	24
X	-	chrX:168654116-168673897	ENSMUSG00000031358	Msl3	protein_coding	[168654120, 168651268]	2	387	36	54	44	45	57	55	46	50
16	-	chr16:46387705-46498524	ENSMUSG00000022656	Pvrl3	protein_coding	[46447169, 46387707, 46442724]	3	479	49	73	62	51	71	64	63	46
2	-	chr2:33729952-33887945	ENSMUSG00000038740	Mvb12b	protein_coding	[33729952]	1	3111	418	424	405	327	314	489	398	336
12	-	chr12:102568581-102704929	ENSMUSG00000057963	Itpk1	protein_coding	[102568582]	1	843	102	111	96	87	83	133	126	105
1	-	chr1:138482874-138620140	ENSMUSG00000026393	Nek7	protein_coding	[138483837]	1	40	6	3	7	3	3	7	5	6
9	-	chr9:107597673-107609228	ENSMUSG00000057969	Sema3b	protein_coding	[107598354]	1	83	12	13	11	7	9	13	8	10
11	-	chr11:69796067-69801856	ENSMUSG00000042826	Fgf11	protein_coding	[69796074]	1	324	38	51	49	39	36	41	40	30
18	+	chr18:64254358-64276145	ENSMUSG00000056812	St8sia3	protein_coding	[64272115, 64272245]	2	223	24	32	25	21	22	35	30	34
12	-	chr12:70991614-71015831	ENSMUSG00000085622	3110056K07Rik	antisense	[71006428]	1	251	36	35	30	28	20	38	39	25
7	+	chr7:128003988-128011392	ENSMUSG00000042828	Trim72	protein_coding	[128011391]	1	435	1	2	0	2	96	151	117	66
11	+	chr11:98029412-98029491	ENSMUSG00000098992	Gm27597	miRNA	[98030491]	1	475	46	69	61	36	70	88	46	59
3	+	chr3:103332142-103334382	ENSMUSG00000104925	RP23-70G12.3	sense_intronic	[103337098]	1	86	10	11	10	8	11	16	11	9
7	-	chr7:41372922-41393259	ENSMUSG00000056383	AI987944	protein_coding	[41372925]	1	260	27	24	38	33	40	36	33	29
13	-	chr13:76001534-76018711	ENSMUSG00000043190	Rfesd	protein_coding	[76002772]	1	75	6	7	15	8	10	12	5	12
5	-	chr5:33897915-33936412	ENSMUSG00000029111	Nelfa	protein_coding	[33898181]	1	1026	129	121	123	127	125	136	140	125
5	+	chr5:34336288-34355628	ENSMUSG00000029110	Rnf4	protein_coding	[34353433, 34353236]	2	931	112	102	110	97	104	148	134	124
17	-	chr17:56607451-56609770	ENSMUSG00000049760	2410015M20Rik	protein_coding	[56607621]	1	1136	135	139	113	108	138	175	148	180
10	+	chr10:76032653-76043233	ENSMUSG00000049764	Zfp280b	protein_coding	[76042962]	1	68	11	9	8	6	10	15	6	3
2	+	chr2:55435969-55598144	ENSMUSG00000026824	Kcnj3	protein_coding	[55598139]	1	697	82	97	86	78	70	94	92	98
2	-	chr2:32308470-32353337	ENSMUSG00000026825	Dnm1	protein_coding	[32308783, 32322647]	2	276	30	32	36	29	36	34	49	30
2	-	chr2:57106829-57124002	ENSMUSG00000026826	Nr4a2	protein_coding	[57106836]	1	284	30	45	30	39	33	53	27	27
2	+	chr2:57237634-57370718	ENSMUSG00000026827	Gpd2	protein_coding	[57370718]	1	998	121	97	106	143	127	117	133	154
2	+	chr2:32395895-32405771	ENSMUSG00000026820	Ptges2	protein_coding	[32402733]	1	375	49	43	41	32	47	46	46	71
2	+	chr2:28513124-28553080	ENSMUSG00000026821	Ralgds	protein_coding	[28553069]	1	4326	529	590	530	548	434	643	541	511
10	-	chr10:80852824-80855208	ENSMUSG00000035215	Lsm7	protein_coding	[80852830]	1	2696	364	363	339	300	313	421	326	270
11	+	chr11:7063488-7178505	ENSMUSG00000020431	Adcy1	protein_coding	[7178502, 7174294]	2	1771	255	238	174	217	171	219	238	259
17	-	chr17:12911348-12916344	ENSMUSG00000057388	Mrpl18	protein_coding	[12911354]	1	1704	201	184	215	201	154	226	220	303
11	-	chr11:41910202-42000856	ENSMUSG00000020436	Gabrg2	protein_coding	[41911713, 41911277, 41910358, 41910207]	4	1482	178	172	179	209	145	222	194	183
4	-	chr4:123712709-123718201	ENSMUSG00000028648	Ndufs5	protein_coding	[123712706]	1	55	7	2	6	9	6	10	6	9
4	-	chr4:123349632-123684359	ENSMUSG00000028649	Macf1	protein_coding	[123395977, 123349720]	2	4841	604	564	627	579	565	688	653	561
X	+	chrX:101429317-101448590	ENSMUSG00000031311	Nono	protein_coding	[101448586]	1	11168	1328	1290	1325	1004	1471	1773	1605	1372
11	+	chr11:70562880-70614482	ENSMUSG00000020827	Mink1	protein_coding	[70614481]	1	47	4	7	5	7	8	8	6	2
4	+	chr4:119195305-119201297	ENSMUSG00000028643	Ccdc23	protein_coding	[119201297]	1	1210	145	155	147	112	142	204	161	144
4	+	chr4:119232914-119248974	ENSMUSG00000028641	P3h1	protein_coding	[119248373, 119248974]	2	394	43	55	36	47	47	64	40	62
16	-	chr16:11074910-11134649	ENSMUSG00000022498	Txndc11	protein_coding	[11074921]	1	167	12	23	19	21	17	25	23	27
10	-	chr10:93583028-93589705	ENSMUSG00000020018	Snrpf	protein_coding	[93583394]	1	525	61	50	28	46	30	67	75	168
15	+	chr15:34082693-34142385	ENSMUSG00000022255	Mtdh	protein_coding	[34142385, 34143533]	2	1365	166	170	166	142	145	206	197	173
12	-	chr12:112820236-112829388	ENSMUSG00000047832	Cdca4	protein_coding	[112820236]	1	449	47	43	50	37	56	63	78	75
12	-	chr12:75630595-75669536	ENSMUSG00000045690	Wdr89	protein_coding	[75630595]	1	121	13	15	11	9	18	23	14	18
4	-	chr4:75277353-75278304	ENSMUSG00000028398	Tmem261	protein_coding	[75277484]	1	427	47	57	58	48	35	70	58	54
4	-	chr4:75941237-78211960	ENSMUSG00000028399	Ptprd	protein_coding	[76121515, 75943277, 76201447, 75941238, 76161631]	5	4312	494	499	515	449	503	689	639	524
4	+	chr4:43578714-43587486	ENSMUSG00000028468	Rgp1	protein_coding	[43587484]	1	377	44	53	39	45	40	54	50	52
4	+	chr4:43562331-43567059	ENSMUSG00000028466	Creb3	protein_coding	[43567059, 43566863]	2	434	69	59	26	37	51	80	56	56
4	-	chr4:43566927-43578872	ENSMUSG00000028467	Gba2	protein_coding	[43566928]	1	469	64	50	41	49	68	81	61	55
4	-	chr4:43514710-43523764	ENSMUSG00000028464	Tpm2	protein_coding	[43514711]	1	47	4	6	4	5	7	6	3	12
4	+	chr4:74242496-74405859	ENSMUSG00000028397	Kdm4c	protein_coding	[74299152, 74405859, 74265550]	3	169	25	31	19	14	19	16	20	25
11	+	chr11:120672972-120709446	ENSMUSG00000025142	Aspscr1	protein_coding	[120709443]	1	63	11	4	6	6	3	14	9	10
18	-	chr18:84128026-84589724	ENSMUSG00000048410	Zfp407	protein_coding	[84207708]	1	407	39	51	65	44	52	59	50	47
17	+	chr17:24470472-24471590	ENSMUSG00000043445	Pgp	protein_coding	[24471587]	1	686	92	104	108	82	76	71	77	76
3	-	chr3:62529076-62605139	ENSMUSG00000043441	Gpr149	protein_coding	[62529962]	1	49	2	9	4	3	9	8	4	10
3	+	chr3:67374096-67400002	ENSMUSG00000048416	Mlf1	protein_coding	[67399997]	1	106	5	13	19	16	8	8	17	20
16	+	chr16:64851995-64859506	ENSMUSG00000054604	Cggbp1	protein_coding	[64859378]	1	2518	316	338	340	279	247	379	298	321
12	+	chr12:113146315-113153878	ENSMUSG00000006360	Crip1	protein_coding	[113153876]	1	144	11	18	10	12	22	25	10	36
2	+	chr2:164769897-164778821	ENSMUSG00000001403	Ube2c	protein_coding	[164772901]	1	274	23	48	36	25	36	37	26	43
8	-	chr8:122628738-122699108	ENSMUSG00000006362	Cbfa2t3	protein_coding	[122628741]	1	238	25	23	30	28	23	44	28	37
17	+	chr17:13760538-13906149	ENSMUSG00000068036	Mllt4	protein_coding	[13905793]	1	859	115	83	97	85	107	140	116	116
15	+	chr15:85205948-85286534	ENSMUSG00000006369	Fbln1	protein_coding	[85251883]	1	189	34	19	18	23	18	24	22	31
X	+	chrX:74317361-74317428	ENSMUSG00000106409	mmu-mir-7092	miRNA	[74320132]	1	200	20	27	23	16	19	48	21	26
3	+	chr3:90514434-90524580	ENSMUSG00000042312	S100a13	protein_coding	[90524573]	1	112	8	6	13	21	14	18	6	26
15	+	chr15:101224206-101232754	ENSMUSG00000000531	Grasp	protein_coding	[101232754]	1	182	15	30	31	21	14	31	20	20
19	+	chr19:32757496-32826159	ENSMUSG00000013663	Pten	protein_coding	[32825464, 32820331, 32823325, 32826157]	4	751	76	111	86	84	76	115	89	114
2	+	chr2:163994959-164018587	ENSMUSG00000018326	Ywhab	protein_coding	[164018586]	1	6559	841	699	743	800	708	879	930	959
1	+	chr1:118681820-118681949	ENSMUSG00000088363	Gm23497	snRNA	[118685160]	1	52	9	6	5	6	5	9	6	6
11	-	chr11:101277967-101279113	ENSMUSG00000017188	Coa3	protein_coding	[101277969]	1	2006	242	264	263	260	218	296	214	249
9	+	chr9:47530172-47857636	ENSMUSG00000032076	Cadm1	protein_coding	[47723611, 47853382]	2	963	121	129	109	103	100	147	126	128
9	+	chr9:46283007-46298782	ENSMUSG00000032077	Bud13	protein_coding	[46298780]	1	264	30	38	35	23	23	50	37	28
13	+	chr13:114818235-114832274	ENSMUSG00000015536	Mocs2	protein_coding	[114828721, 114828999]	2	1204	151	153	160	146	122	152	159	161
7	+	chr7:6172225-6191348	ENSMUSG00000044876	Zfp444	protein_coding	[6190415]	1	479	56	44	56	54	66	89	51	63
9	+	chr9:46273063-46282642	ENSMUSG00000032078	Zpr1	protein_coding	[46282639]	1	37	5	6	3	5	3	5	8	2
10	+	chr10:4391586-4396423	ENSMUSG00000095123	Gm21781	lincRNA	[4396422]	1	192	19	22	14	13	28	30	25	41
5	-	chr5:34496086-34513990	ENSMUSG00000059866	Tnip2	protein_coding	[34496086]	1	56	6	8	7	7	6	7	8	7
14	-	chr14:55679082-55681816	ENSMUSG00000007589	Tinf2	protein_coding	[55679101]	1	110	11	9	7	15	15	17	17	19
9	-	chr9:57142799-57148304	ENSMUSG00000032298	Neil1	protein_coding	[57142799]	1	97	11	11	17	7	13	15	7	16
9	-	chr9:57155040-57158298	ENSMUSG00000032299	Commd4	protein_coding	[57155040]	1	1638	221	221	205	154	189	260	215	173
14	+	chr14:32201948-32297549	ENSMUSG00000021911	Parg	protein_coding	[32297216]	1	1193	148	142	156	164	123	159	150	151
14	-	chr14:31170929-31216945	ENSMUSG00000021910	Nisch	protein_coding	[31170931]	1	3093	386	396	331	318	352	496	410	404
14	+	chr14:32322018-32347819	ENSMUSG00000021913	Ogdhl	protein_coding	[32348145]	1	191	24	31	24	17	23	35	20	17
7	-	chr7:104338753-104353361	ENSMUSG00000057143	Trim12c	protein_coding	[104338754]	1	51	5	6	6	8	8	6	6	6
9	+	chr9:56994967-57062804	ENSMUSG00000032290	Ptpn9	protein_coding	[57031156, 57049492, 57062751]	3	241	34	32	26	16	35	36	36	26
9	+	chr9:54764747-54773109	ENSMUSG00000032291	Crabp1	protein_coding	[54773108]	1	6323	842	805	725	655	750	1154	756	636
14	+	chr14:30951485-30987438	ENSMUSG00000021918	Nek4	protein_coding	[30988472, 30988818]	2	224	34	19	31	26	25	34	21	34
9	+	chr9:59656367-59679374	ENSMUSG00000032294	Pkm	protein_coding	[59679368]	1	8224	1013	1010	1025	926	903	1303	981	1063
9	+	chr9:57130689-57142721	ENSMUSG00000032295	Man2c1	protein_coding	[57142205]	1	560	67	80	57	56	72	112	58	58
6	+	chr6:113707207-113707264	ENSMUSG00000106581	mmu-mir-7042	miRNA	[113711066]	1	1757	183	202	256	194	183	270	272	197
19	-	chr19:34810893-34879454	ENSMUSG00000033610	Pank1	protein_coding	[34806938, 34810894]	2	470	64	59	44	46	65	71	65	56
17	+	chr17:85090725-85458138	ENSMUSG00000071037	Camkmt	protein_coding	[85458586, 85130487]	2	228	29	29	26	21	29	29	31	34
6	-	chr6:92169524-92184032	ENSMUSG00000014551	Mrps25	protein_coding	[92174121, 92174837]	2	933	131	124	117	114	84	123	113	127
5	+	chr5:138161070-138164645	ENSMUSG00000019494	Cops6	protein_coding	[138163979]	1	1359	159	167	163	151	169	200	176	174
8	+	chr8:113635585-113645177	ENSMUSG00000078908	Mon1b	protein_coding	[113645177]	1	155	18	14	15	22	20	18	30	18
14	+	chr14:111675114-111683133	ENSMUSG00000033214	Slitrk5	protein_coding	[111683138, 111686519]	2	588	74	77	66	64	54	107	69	77
6	-	chr6:88257333-88446538	ENSMUSG00000033216	Eefsec	protein_coding	[88257871]	1	45	3	9	7	2	5	7	6	6
4	-	chr4:129676354-129696837	ENSMUSG00000053730	Tmem39b	protein_coding	[129676357]	1	127	13	18	15	15	14	19	18	15
8	-	chr8:79683441-79711739	ENSMUSG00000058355	Abce1	protein_coding	[79683644]	1	733	84	79	80	99	85	105	98	103
14	-	chr14:31088131-31128929	ENSMUSG00000058351	Smim4	protein_coding	[31124505]	1	1107	107	108	107	97	133	207	175	173
8	-	chr8:12614276-12672247	ENSMUSG00000000759	Tubgcp3	protein_coding	[12614279]	1	1072	120	158	123	123	120	135	156	137
11	-	chr11:75409768-75422700	ENSMUSG00000000753	Serpinf1	protein_coding	[75410030]	1	186	22	27	22	24	24	23	12	32
19	+	chr19:40894704-40917946	ENSMUSG00000049164	Zfp518a	protein_coding	[40917940]	1	648	80	81	72	78	81	94	86	76
11	-	chr11:75298165-75348323	ENSMUSG00000000751	Rpa1	protein_coding	[75300348]	1	574	75	79	71	58	70	95	59	67
7	-	chr7:44812256-44816657	ENSMUSG00000038539	Atf5	protein_coding	[44812256]	1	517	76	72	78	65	44	80	51	51
6	+	chr6:38433949-38524824	ENSMUSG00000038538	Ubn2	protein_coding	[38437333]	1	41	5	7	5	7	6	1	6	4
1	-	chr1:169741476-169747641	ENSMUSG00000038530	Rgs4	protein_coding	[169741675]	1	1485	183	183	216	145	161	232	214	151
2	+	chr2:154436480-154539355	ENSMUSG00000038533	Cbfa2t2	protein_coding	[154539343]	1	431	51	65	53	34	51	71	55	51
6	-	chr6:115954810-115995004	ENSMUSG00000030123	Plxnd1	protein_coding	[115954811]	1	91	14	5	11	9	12	18	6	16
7	+	chr7:125552281-125579471	ENSMUSG00000030748	Il4ra	protein_coding	[125577965]	1	283	29	26	29	33	47	37	42	40
11	-	chr11:103821781-103954055	ENSMUSG00000034187	Nsf	protein_coding	[103821784]	1	5702	741	674	687	705	649	766	707	773
18	-	chr18:63662800-63692358	ENSMUSG00000024583	Txnl1	protein_coding	[63664107, 63671667, 63662687]	3	1663	203	182	217	202	189	235	206	229
7	-	chr7:126370059-126377449	ENSMUSG00000030741	Spns1	protein_coding	[126370067]	1	792	97	107	101	89	83	119	91	105
7	-	chr7:99153662-99182712	ENSMUSG00000030747	Dgat2	protein_coding	[99153657]	1	157	18	28	15	11	16	24	20	25
7	-	chr7:99477895-99483737	ENSMUSG00000030744	Rps3	protein_coding	[99477898, 99478893]	2	6581	798	732	731	639	818	982	900	981
2	+	chr2:105668899-105697363	ENSMUSG00000027168	Pax6	protein_coding	[105697066]	1	80	9	6	12	6	14	7	14	12
11	+	chr11:46436924-46442720	ENSMUSG00000020397	Med7	protein_coding	[46441526]	1	388	38	43	64	47	35	41	47	73
11	-	chr11:51985496-52000761	ENSMUSG00000020390	Ube2b	protein_coding	[51986385]	1	320	42	42	40	28	48	39	41	40
11	+	chr11:51967660-51977333	ENSMUSG00000020392	Cdkn2aipnl	protein_coding	[51977333]	1	911	104	116	117	92	106	151	122	103
11	-	chr11:5191551-5261557	ENSMUSG00000020393	Kremen1	protein_coding	[5191556]	1	116	9	16	9	9	13	23	19	18
2	+	chr2:109890852-109901002	ENSMUSG00000027162	Lin7c	protein_coding	[109901001, 109900066]	2	1131	155	136	128	108	125	201	129	149
2	+	chr2:101886246-101901645	ENSMUSG00000027163	Commd9	protein_coding	[101901644]	1	415	67	39	44	47	47	62	64	45
2	+	chr2:110017816-110173359	ENSMUSG00000027160	Ccdc34	protein_coding	[110044835, 110040708, 110045317, 110044662]	4	361	54	49	47	35	36	48	46	46
2	-	chr2:105966708-106003548	ENSMUSG00000027166	Dnajc24	protein_coding	[105966716]	1	43	4	5	2	8	5	10	5	4
1	-	chr1:166384621-166409862	ENSMUSG00000040596	Pogk	protein_coding	[166393613]	1	281	35	38	33	26	29	59	30	31
2	+	chr2:101678428-101701668	ENSMUSG00000027164	Traf6	protein_coding	[101701519]	1	41	4	8	5	4	2	7	5	6
2	-	chr2:101560780-101649531	ENSMUSG00000027165	B230118H07Rik	protein_coding	[101562124]	1	806	116	106	77	88	83	123	101	112
1	+	chr1:133181320-133303434	ENSMUSG00000041757	Plekha6	protein_coding	[133288858, 133303429]	2	812	95	98	100	90	93	116	120	100
7	+	chr7:142460808-142494866	ENSMUSG00000018819	Lsp1	protein_coding	[142494598]	1	51	11	6	9	7	3	6	5	4
7	-	chr7:79698097-79715719	ENSMUSG00000050382	Kif7	protein_coding	[79698098]	1	105	8	11	12	11	20	10	15	18
11	+	chr11:64435331-64522840	ENSMUSG00000047759	Hs3st3a1	protein_coding	[64522834]	1	44	5	6	6	5	5	3	10	4
1	+	chr1:172555937-172563716	ENSMUSG00000049598	Vsig8	protein_coding	[172563714]	1	56	12	5	3	5	6	10	2	13
7	+	chr7:84528974-84578336	ENSMUSG00000097789	Gm2115	lincRNA	[84578336, 84581232]	2	121	18	16	18	10	9	23	17	10
6	-	chr6:113728061-113740742	ENSMUSG00000030298	Sec13	protein_coding	[113728071]	1	1038	131	131	130	114	116	153	125	138
1	-	chr1:165212285-165236995	ENSMUSG00000040843	Tiprl	protein_coding	[165214922, 165215109]	2	3824	495	491	472	413	417	504	524	508
4	-	chr4:135213968-135272813	ENSMUSG00000037242	Clic4	protein_coding	[135215442, 135213971]	2	658	77	88	72	72	53	73	73	150
6	+	chr6:146642546-146650731	ENSMUSG00000030291	Med21	protein_coding	[146650600]	1	353	31	43	47	36	42	51	49	54
7	+	chr7:88278084-88310887	ENSMUSG00000030560	Ctsc	protein_coding	[88291395, 88310310]	2	140	19	32	11	18	11	14	15	20
19	+	chr19:43689671-43733696	ENSMUSG00000025192	Entpd7	protein_coding	[43732679]	1	86	6	15	9	8	5	15	12	16
3	-	chr3:35892104-35937444	ENSMUSG00000027708	Dcun1d1	protein_coding	[35892105, 35892980, 35893661]	3	731	83	98	73	101	67	124	99	86
8	+	chr8:90828834-91054507	ENSMUSG00000056608	Chd9	protein_coding	[90976938, 91054507]	2	974	140	125	109	101	94	134	146	125
3	+	chr3:30792874-30821262	ENSMUSG00000027706	Sec62	protein_coding	[30821259, 30819741, 30820094]	3	853	102	98	100	102	69	98	119	165
11	-	chr11:22834746-22860960	ENSMUSG00000051650	B3gnt2	protein_coding	[22834740]	1	76	10	15	9	9	8	11	8	6
7	+	chr7:62376978-62381639	ENSMUSG00000056972	Magel2	protein_coding	[62381637]	1	1581	148	203	174	179	142	251	253	231
4	-	chr4:129703163-129742302	ENSMUSG00000028790	Khdrbs1	protein_coding	[129714858]	1	3755	446	409	510	345	426	652	535	432
19	+	chr19:5689130-5702861	ENSMUSG00000004054	Map3k11	protein_coding	[5702856]	1	77	5	10	11	11	10	11	11	8
12	-	chr12:27140795-27160632	ENSMUSG00000094002	Gm9866	lincRNA	[27139089]	1	134	13	26	14	24	11	15	14	17
15	+	chr15:81744847-81796268	ENSMUSG00000022390	Zc3h7b	protein_coding	[81796258]	1	3503	455	425	352	411	381	539	544	396
15	-	chr15:81704247-81729918	ENSMUSG00000022391	Rangap1	protein_coding	[81704253]	1	5072	627	592	692	538	566	762	693	602
11	+	chr11:83753695-83783753	ENSMUSG00000000976	Heatr6	protein_coding	[83782615, 83782020, 83783751]	3	278	32	29	42	33	20	48	45	29
1	-	chr1:6209865-6215292	ENSMUSG00000090031	4732440D04Rik	antisense	[6209866]	1	34	9	2	4	2	0	6	6	5
10	+	chr10:99108158-99113246	ENSMUSG00000090035	Galnt4	protein_coding	[99113239]	1	178	14	20	20	34	21	34	19	16
X	+	chrX:7878261-7883431	ENSMUSG00000031155	Pim2	protein_coding	[7883429]	1	317	33	26	51	33	43	54	47	30
8	-	chr8:21992784-22060304	ENSMUSG00000006567	Atp7b	protein_coding	[21992787]	1	66	8	12	7	8	7	7	9	8
16	-	chr16:73892305-74411824	ENSMUSG00000052516	Robo2	protein_coding	[73894951, 73920202, 73894354, 73891837, 73892063]	5	1535	195	191	222	161	166	219	198	183
13	-	chr13:12439414-12464943	ENSMUSG00000057554	Lgals8	protein_coding	[12439416, 12439619]	2	186	25	18	29	22	18	20	18	36
11	-	chr11:4097038-4123414	ENSMUSG00000003585	Sec14l2	protein_coding	[4097047]	1	202	24	27	26	29	22	28	19	27
9	+	chr9:19641223-19648047	ENSMUSG00000057551	Zfp317	protein_coding	[19649729]	1	955	111	120	148	82	102	151	126	115
19	-	chr19:4984354-4989970	ENSMUSG00000045903	Npas4	protein_coding	[4984353]	1	118	17	15	17	9	17	20	12	11
3	-	chr3:144429705-144570180	ENSMUSG00000040151	Hs2st1	protein_coding	[144430009, 144432978, 144431115, 144429700, 144431667]	5	454	56	46	67	37	57	71	61	59
2	+	chr2:118111875-118127132	ENSMUSG00000040152	Thbs1	protein_coding	[118127129]	1	141	19	13	18	18	17	12	28	16
1	-	chr1:16065978-16093324	ENSMUSG00000067795	4930444P10Rik	protein_coding	[16065975]	1	55	6	4	10	7	6	10	7	5
8	+	chr8:119957560-124231389	ENSMUSG00000092329	Gm20388	protein_coding	[123836720, 122817881, 123273618, 122823207]	4	237	31	23	26	18	29	44	37	29
2	+	chr2:163122605-163143958	ENSMUSG00000086152	Gm11454	lincRNA	[163146351]	1	72	7	10	7	11	9	11	11	6
7	-	chr7:128696440-128740494	ENSMUSG00000048170	Mcmbp	protein_coding	[128696978, 128698186, 128697766]	3	415	47	45	47	44	46	72	58	56
7	-	chr7:121642020-121707252	ENSMUSG00000063317	Usp31	protein_coding	[121642024, 121645467]	2	510	55	55	58	60	62	86	74	60
1	-	chr1:72427111-72536929	ENSMUSG00000039372	March4	protein_coding	[72427112]	1	296	34	29	28	36	38	39	40	52
X	-	chrX:8193847-8206524	ENSMUSG00000031169	Porcn	protein_coding	[8193848]	1	414	40	54	44	45	61	64	60	46
X	-	chrX:8185328-8193511	ENSMUSG00000031168	Ebp	protein_coding	[8185332]	1	518	53	74	60	60	47	66	66	92
